[0916/110258.542:INFO:CONSOLE(139)] "Event handler of 'x-storagemutated-1' event must be added on the initial evaluation of worker script.", source: https://static.whatsapp.net/rsrc.php/v3/yR/r/F4aE0FqxgkJ.js?_nc_x=Ij3Wp8lg5Kz (139)
[0916/110306.901:INFO:CONSOLE(343)] "[storage] skipping version 159 for table 'acs-tokens' since it is higher than max version to rollout 158", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110306.901:INFO:CONSOLE(343)] "[storage] applying schema versions from [0 to 158] for the database: 'model-storage'", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110310.648:INFO:CONSOLE(343)] "FTS:Delegate: after db initialization", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110310.648:INFO:CONSOLE(343)] "FTS:Manifest Writer: No changes made, current:['3.1', '1'], latest:['3.1', '1']", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110310.648:INFO:CONSOLE(343)] "FTS:Delegate: Inited", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110310.648:INFO:CONSOLE(343)] "FTS:Delegate: Init indexing ops", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110310.659:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110310.665:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110316.264:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110316.274:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110316.278:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110316.750:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110316.776:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110316.776:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110318.270:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110318.319:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110318.320:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110324.666:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110324.670:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110324.674:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110332.445:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110332.449:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110332.449:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110332.918:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110332.938:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110332.940:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110334.831:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Starting new batch size : 1000", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110334.888:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed batch", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
[0916/110334.888:INFO:CONSOLE(343)] "FTS:Indexer:indexQueuedBatch: Completed", source: https://static.whatsapp.net/rsrc.php/v3/y-/r/wtGUiOOKkQX.js?_nc_x=Ij3Wp8lg5Kz (343)
